,,lucia,1m33s,06.22.2022-01.20.24
,,lucia,1m34s,06.22.2022-01.20.25
,,lucia,6m0s,06.22.2022-01.20.25
,,lucia,2m36s,06.22.2022-01.20.27
,,lucia,7m1s,06.22.2022-01.20.27
,,lucia,3m23s,06.22.2022-01.20.35
,,lucia,4m10s,06.22.2022-01.20.35
,,lucia,4m10s,06.22.2022-01.20.40
,,lucia,3m54s,06.22.2022-01.20.43
,,lucia,2m52s,06.22.2022-01.24.40
,,lucia,7m17s,06.22.2022-01.24.41
,,lucia,46s,06.22.2022-01.24.45
,,lucia,1m2s,06.22.2022-01.24.45
,,lucia,47s,06.22.2022-01.24.45
,,lucia,1m34s,06.22.2022-01.24.47
,,lucia,5m59s,06.22.2022-01.24.47
,,lucia,3m39s,06.22.2022-01.24.51
,,lucia,8m4s,06.22.2022-01.24.52
,,lucia,47s,06.22.2022-01.24.54
,,lucia,20.062s,06.22.2022-01.48.11
,,lucia,20.265s,06.22.2022-01.48.11
,,lucia,20.468s,06.22.2022-01.48.11
,,lucia,20.671s,06.22.2022-01.48.11
,,lucia,20.875s,06.22.2022-01.48.12
,,lucia,21.093s,06.22.2022-01.48.12
,,lucia,21.296s,06.22.2022-01.48.12
,,lucia,21.484s,06.22.2022-01.48.12
,,lucia,21.687s,06.22.2022-01.48.12
,,lucia,21.89s,06.22.2022-01.48.13
,,lucia,22.093s,06.22.2022-01.48.13
,,lucia,22.296s,06.22.2022-01.48.13
,,lucia,22.5s,06.22.2022-01.48.13
,,lucia,22.703s,06.22.2022-01.48.14
,,lucia,22.906s,06.22.2022-01.48.14
,,lucia,23.109s,06.22.2022-01.48.14
,,lucia,23.312s,06.22.2022-01.48.14
,,lucia,23.515s,06.22.2022-01.48.14
,,lucia,23.718s,06.22.2022-01.48.15
,,lucia,23.921s,06.22.2022-01.48.15
,,lucia,24.14s,06.22.2022-01.48.15
,,lucia,24.343s,06.22.2022-01.48.15
,,lucia,24.546s,06.22.2022-01.48.15
,,lucia,24.75s,06.22.2022-01.48.16
,,lucia,24.953s,06.22.2022-01.48.16
,,lucia,25.156s,06.22.2022-01.48.16
,,lucia,25.359s,06.22.2022-01.48.16
,,lucia,25.562s,06.22.2022-01.48.16
,,lucia,25.765s,06.22.2022-01.48.17
,,lucia,25.968s,06.22.2022-01.48.17
,,lucia,26.171s,06.22.2022-01.48.17
,,lucia,26.375s,06.22.2022-01.48.17
,,lucia,26.578s,06.22.2022-01.48.17
,,lucia,26.781s,06.22.2022-01.48.18
,,lucia,26.984s,06.22.2022-01.48.18
,,lucia,27.187s,06.22.2022-01.48.18
,,lucia,27.39s,06.22.2022-01.48.18
,,lucia,27.593s,06.22.2022-01.48.18
,,lucia,27.796s,06.22.2022-01.48.19
,,lucia,28s,06.22.2022-01.48.19
,,lucia,28.203s,06.22.2022-01.48.19
,,lucia,28.39s,06.22.2022-01.48.19
,,lucia,28.609s,06.22.2022-01.48.19
,,lucia,28.812s,06.22.2022-01.48.20
,,lucia,29.015s,06.22.2022-01.48.20
,,lucia,29.218s,06.22.2022-01.48.20
,,lucia,29.421s,06.22.2022-01.48.20
,,lucia,29.625s,06.22.2022-01.48.20
,,lucia,29.828s,06.22.2022-01.48.21
,,lucia,30.015s,06.22.2022-01.48.21
,,lucia,30.218s,06.22.2022-01.48.21
,,lucia,30.437s,06.22.2022-01.48.21
,,lucia,30.64s,06.22.2022-01.48.21
,,lucia,30.843s,06.22.2022-01.48.22
,,lucia,31.046s,06.22.2022-01.48.22
,,lucia,31.234s,06.22.2022-01.48.22
,,lucia,31.437s,06.22.2022-01.48.22
,,lucia,31.64s,06.22.2022-01.48.22
,,lucia,31.843s,06.22.2022-01.48.23
,,lucia,32.046s,06.22.2022-01.48.23
,,lucia,32.25s,06.22.2022-01.48.23
,,lucia,32.468s,06.22.2022-01.48.23
,,lucia,47ms,06.22.2022-01.58.27
,,lucia,0s,06.22.2022-01.58.33
,,lucia,156ms,06.22.2022-01.58.36
,,lucia,2.906s,06.22.2022-01.58.39
,,lucia,281ms,06.22.2022-01.58.43
,,lucia,0s,06.22.2022-01.58.43
,,lucia,28.609s,06.22.2022-01.59.51
,,lucia,23.797s,06.22.2022-02.21.36
,,lucia,24.844s,06.22.2022-02.22.37
,,lucia,24.625s,06.22.2022-02.23.38
00:00:00:00:00:00,127.0.0.1,lucia,30.765s,06.22.2022-02.52.10
